,id,release_date,movie,production_budget,domestic_gross,total_gross,profitability
5372,73,1973-08-11,American Graffiti,777000,115000000,140000000,180.18018018018017
4218,19,1973-08-22,High Plains Drifter,5500000,15700000,15700000,2.8545454545454545
4891,92,1973-12-17,Sleeper,2000000,18344729,18344729,9.1723645
4213,14,1973-12-25,The Sting,5500000,159616327,159616327,29.021150363636362
3341,42,1973-12-26,The Exorcist,12000000,230347346,428214478,35.68453983333333
4800,1,1974-02-07,Blazing Saddles,2600000,119500000,119500000,45.96153846153846
3999,100,1974-03-29,The Great Gatsby,7000000,26533200,26533200,3.790457142857143
5052,53,1974-04-07,The Conversation,1600000,4420000,4420000,2.7625
5665,66,1974-10-18,The Texas Chainsaw Massacre,140000,26572439,26572439,189.8031357142857
5429,30,1974-11-15,Benji,500000,31559560,31559560,63.11912
3252,53,1974-12-11,The Godfather: Part II,13000000,57300000,57300000,4.407692307692308
4783,84,1974-12-15,Young Frankenstein,2800000,86300000,86300000,30.821428571428573
4490,91,1974-12-17,The Front Page,4000000,15000000,15000000,3.75
3174,75,1974-12-17,Towering Inferno,14000000,116000000,139700000,9.978571428571428
4006,7,1974-12-20,The Man with the Golden Gun,7000000,21000000,97600000,13.942857142857143
4575,76,1974-12-31,The Taking of Pelham One Two Three,3800000,0,0,0.0
3488,89,1975-01-01,Barry Lyndon,11000000,20000000,20169934,1.8336303636363636
5559,60,1975-04-01,Death Race 2000,300000,0,0,0.0
5508,9,1975-05-10,Monty Python and the Holy Grail,400000,3427696,5028948,12.57237
4264,65,1975-05-16,The Return of the Pink Panther,5000000,41833347,41833347,8.3666694
4677,78,1975-06-10,Love and Death,3000000,20123742,20123742,6.707914
